工艺路线_ID,工序_ID,ID,Precision,Parameter_ID,tool_name
1,10,N1,粗,1,55°R0.4WYD
1,10,N2,粗,2,0.5XD
1,10,N3,精,3,0.3带台ZT
1,10,N4,粗,4,W=2切刀
1,10,N5,粗,5,2.5ZXZ
1,10,N6,粗,6,6XD
1,10,N7,粗,7,2ZT
1,10,N8,粗,8,2.3NKD
1,10,N9,粗,9,0.2带台ZT
1,10,N10,粗,10,36°埋钻
1,10,N11,精,11,36°埋钻
1,10,N12,精,12,内孔刀
1,10,N13,空刀,13,内孔刀
1,10,N14,粗,14,内孔刀
1,10,N15,精,15,55°R0.2WYD
1,10,N16,精,16,0.5带台ZT
1,10,N17,粗,17,W=2切刀
1,10,N18,精,18,55°R0.4WYD
1,10,N19,粗,19,90°埋钻
1,10,N20,粗,20,90°ZXZ
1,10,N21,粗,21,55°0.4WYD
1,10,N22,精,22,80°R0.2WYD
1,10,N23,精,23,0.2铣刀
1,10,N24,精,24,w=1.4切刀
1,10,N25,精,25,6XD
1,10,N26,精,26,35°R0.2WYD
1,10,N27,精,27,0.2铣刀
